1: systemd: 0.0%, 11091968B, disk_io = [283740, 82821, 312621056, 110854144, 313577073, 141728385]
2: kthreadd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
3: rcu_gp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
4: rcu_par_gp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
6: kworker/0:0H-events_highpri: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
8: mm_percpu_wq: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
9: rcu_tasks_rude_: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
10: rcu_tasks_trace: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
11: ksoftirqd/0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
12: rcu_sched: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
13: migration/0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
15: cpuhp/0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
17: kdevtmpfs: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
18: netns: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
19: inet_frag_wq: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
20: kauditd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
21: khungtaskd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
22: oom_reaper: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
23: writeback: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
24: kcompactd0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
25: ksmd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
26: khugepaged: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
45: kintegrityd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
46: kblockd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
47: blkcg_punt_bio: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
48: tpm_dev_wq: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
49: edac-poller: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
50: devfreq_wq: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
52: kworker/0:1H-kblockd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
53: kswapd0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
54: kthrotld: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
55: irq/24-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
56: irq/25-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
57: irq/26-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
58: irq/27-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
59: irq/28-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
60: irq/29-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
61: irq/30-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
62: irq/31-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
63: irq/32-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
64: irq/33-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
65: irq/34-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
66: irq/35-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
67: irq/36-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
68: irq/37-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
69: irq/38-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
70: irq/39-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
71: irq/40-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
72: irq/41-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
73: irq/42-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
74: irq/43-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
75: irq/44-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
76: irq/45-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
77: irq/46-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
78: irq/47-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
79: irq/48-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
80: irq/49-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
81: irq/50-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
82: irq/51-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
83: irq/52-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
84: irq/53-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
85: irq/54-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
86: irq/55-pciehp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
87: acpi_thermal_pm: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
88: mld: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
89: ipv6_addrconf: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
99: kstrp: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
102: zswap-shrink: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
103: kworker/u65:0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
150: mpt_poll_0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
151: mpt/0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
152: ata_sff: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
153: scsi_eh_0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
154: scsi_tmf_0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
155: scsi_eh_1: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
156: scsi_tmf_1: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
158: cryptd: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
160: ttm_swap: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
162: irq/16-vmwgfx: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
164: card0-crtc0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
166: card0-crtc1: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
168: card0-crtc2: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
170: card0-crtc3: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
173: card0-crtc4: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
174: card0-crtc5: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
176: card0-crtc6: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
178: card0-crtc7: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
226: scsi_eh_2: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
227: scsi_tmf_2: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
271: jbd2/sda1-8: 0.0%, 0B, disk_io = [0, 0, 0, 13201408, 0, 0]
272: ext4-rsv-conver: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
326: systemd-journald: 0.0%, 16322560B, disk_io = [4107, 117, 7946240, 18948096, 497131, 24330]
335: rpciod: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
336: xprtiod: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
345: vmware-vmblock-fuse: 0.0%, 266240B, disk_io = [14, 15, 0, 0, 736, 619]
353: systemd-udevd: 0.0%, 5906432B, disk_io = [5640, 1586, 16131072, 0, 6739506, 106899]
459: haveged: 0.0%, 6873088B, disk_io = [447, 7, 401408, 0, 369195, 384]
464: vmtoolsd: 0.0%, 7761920B, disk_io = [10142, 280, 11649024, 12288, 6903617, 4219]
468: cron: 0.0%, 2932736B, disk_io = [1781, 33, 241664, 0, 2067723, 367]
469: dbus-daemon: 0.0%, 5599232B, disk_io = [489, 3, 3784704, 0, 195763, 45]
473: NetworkManager: 0.0%, 18907136B, disk_io = [1036, 4969, 12156928, 131072, 195998, 11234]
483: polkitd: 0.0%, 11300864B, disk_io = [3755, 2421, 4595712, 0, 2150595, 19506]
487: rsyslogd: 0.0%, 4866048B, disk_io = [56, 1110, 1540096, 901120, 128845, 488536]
491: systemd-logind: 0.0%, 7294976B, disk_io = [1346, 40, 421888, 0, 840982, 8691]
505: ModemManager: 0.0%, 11374592B, disk_io = [1076, 251, 4648960, 0, 383594, 2286]
520: lightdm: 0.0%, 8073216B, disk_io = [1358, 955, 36622336, 45056, 2258507, 460830]
531: Xorg: 0.0%, 149778432B, disk_io = [62134, 258535, 64495616, 49152, 3604694, 45749531]
532: agetty: 0.0%, 1748992B, disk_io = [23, 12, 335872, 0, 10260, 1635]
670: rtkit-daemon: 0.0%, 3014656B, disk_io = [1194, 920, 69632, 0, 82577, 7393]
723: lightdm: 0.0%, 9576448B, disk_io = [273, 60, 716800, 8192, 182496, 1143]
730: systemd: 0.0%, 9506816B, disk_io = [2427, 2013, 5603328, 1077248, 889736, 1099172]
731: (sd-pam): 0.0%, 2965504B, disk_io = [2, 1, 0, 0, 6, 8]
750: pipewire: 0.0%, 20140032B, disk_io = [427, 217, 0, 0, 139070, 1598]
752: pipewire-media-session: 0.0%, 27734016B, disk_io = [10435, 197, 114688, 4096, 519156, 1496]
753: pulseaudio: 0.0%, 28590080B, disk_io = [1113, 309, 106496, 8192, 413028, 1885]
756: dbus-daemon: 0.0%, 5578752B, disk_io = [629, 22, 0, 0, 67299, 506]
760: xfce4-session: 0.0%, 25407488B, disk_io = [3381, 2831, 10711040, 20480, 2102346, 43137]
809: ssh-agent: 0.0%, 479232B, disk_io = [0, 0, 0, 0, 0, 0]
819: at-spi-bus-launcher: 0.0%, 8663040B, disk_io = [161, 173, 147456, 0, 28979, 1585]
825: dbus-daemon: 0.0%, 4648960B, disk_io = [482, 9, 0, 0, 54129, 281]
829: xfconfd: 0.0%, 8368128B, disk_io = [1682, 2519, 532480, 0, 29240, 20145]
835: at-spi2-registryd: 0.0%, 7180288B, disk_io = [272, 2731, 0, 0, 32894, 18242]
845: gpg-agent: 0.0%, 3514368B, disk_io = [19, 17, 0, 0, 9467, 428]
847: xfwm4: 0.0%, 90390528B, disk_io = [1057, 45646, 4931584, 0, 1422313, 376185702]
850: gvfsd: 0.0%, 8060928B, disk_io = [375, 339, 24576, 0, 32387, 2714]
855: gvfsd-fuse: 0.0%, 8626176B, disk_io = [101, 90, 0, 0, 28360, 864]
867: xfsettingsd: 0.0%, 27467776B, disk_io = [1054, 1304, 577536, 0, 1047726, 24920]
870: upowerd: 0.0%, 10924032B, disk_io = [2630, 783, 700416, 16384, 556096, 6943]
875: xfce4-panel: 0.0%, 45641728B, disk_io = [2667, 17042, 2723840, 0, 3611425, 6641548]
879: Thunar: 0.0%, 59699200B, disk_io = [7373, 10041, 2342912, 8192, 2338429, 22831851]
884: xfdesktop: 0.0%, 56737792B, disk_io = [2278, 4167, 9031680, 0, 8634076, 201556]
885: panel-1-whisker: 0.0%, 42496000B, disk_io = [5565, 4642, 3411968, 0, 1645492, 50961]
887: panel-16-systra: 0.0%, 25079808B, disk_io = [395, 674, 421888, 0, 536412, 20656]
889: panel-17-pulsea: 0.0%, 43147264B, disk_io = [34888, 56389, 385024, 0, 1029249, 561282]
890: panel-18-notifi: 0.0%, 38490112B, disk_io = [564, 644, 450560, 4096, 732364, 106966]
891: panel-19-power-: 0.0%, 39776256B, disk_io = [2014, 2858, 409600, 0, 758582, 125000]
892: panel-21-action: 0.0%, 40226816B, disk_io = [620, 890, 221184, 0, 727000, 384604]
912: xfce4-notifyd: 0.0%, 20062208B, disk_io = [300, 434, 245760, 0, 249453, 6698]
932: light-locker: 0.0%, 23953408B, disk_io = [431, 805, 299008, 0, 529386, 10445]
938: xfce4-power-manager: 0.0%, 24760320B, disk_io = [1382, 2157, 237568, 0, 566095, 22570]
940: nm-applet: 0.0%, 46579712B, disk_io = [663, 707, 1032192, 0, 736271, 17537]
943: xiccd: 0.0%, 8880128B, disk_io = [690, 1432, 774144, 0, 38907, 13297]
946: vmtoolsd: 0.0%, 39321600B, disk_io = [442, 1715, 9383936, 0, 567056, 37611]
947: polkit-gnome-authentication-agent-1: 0.0%, 19480576B, disk_io = [214, 275, 98304, 0, 241678, 5436]
952: agent: 0.0%, 5300224B, disk_io = [43, 21, 49152, 0, 21580, 168]
955: blueman-applet: 0.0%, 51609600B, disk_io = [872, 544, 6496256, 0, 2721071, 7747]
